identifier,village_name,admin_cgaz_1,admin_cgaz_2,lat,lon,population,num_connections,energy_demand,year15_demand_mwh,distance_to_existing_transmission_lines,has_health_facility,has_education_facility,mean_rwi,lcoe_grid,lcoe_mg,lcoe_shs,technology,lcoe_best,priority_score,priority_rank
12009,Manta,Atakora,Tanguieta,10.42232,1.149997,82,32,6.944,11.633622280742994,34.692399237580446,False,False,-0.652,15.8947,0.3238,0.8213,Mini-Grid,0.3238,12.085241856691178,6219
11446,Kpénati,Borgou,Sinende,10.289374,2.399237,856,332,79.439,133.08803576612078,29.564524468351205,False,True,-0.31,1.4823,0.3092,0.8213,Mini-Grid,0.3092,21.77095279026286,945
1902,Igbo-Assan,Ouémé,Adjohoun,6.790904,2.563328,103,40,11.278,18.894584113222855,7.104707211736754,False,False,-0.784,2.2348,0.2878,0.8213,Mini-Grid,0.2878,17.307405576063747,1742
680,Tori-Bossito,Atlantique,Tori-Bossito,6.504011,2.11565,178,69,18.887,31.642313366416033,8.090577820750852,False,False,-0.35,1.6161,0.2914,0.8213,Mini-Grid,0.2914,14.18666775358183,2762
6612,Tchayagbangba,Collines,Save,8.147729,2.594862,108,42,11.763,19.70712829613765,2.1859799398184077,False,False,-0.669,0.8555,0.2886,0.8213,Mini-Grid,0.2886,16.499099591929586,1869
11765,Yarikou,Atakora,Natitingou,10.345219,1.552503,523,203,45.367,76.00555040473321,21.042271854402586,False,False,-0.138,1.7903,0.3192,0.8213,Mini-Grid,0.3192,9.479396749925824,15133
13838,Tantéga,Atakora,Materi,10.788982,1.01164,227,88,19.096,31.992461272043236,75.25965040456089,False,False,-0.267,12.6142,0.3238,0.8213,Mini-Grid,0.3238,9.708902041057998,14672
12374,Kouandé,Atakora,Kouande,10.299102,1.657467,3449,1338,317.43,531.805979345658,28.834022257089416,False,True,-0.34,0.6102,0.3104,0.8213,Mini-Grid,0.3104,21.84805647786903,922
4193,Dan-Zoukoutoudja,Zou,Zogbodomey,7.00772,2.101846,768,298,72.944,122.20664511038551,19.510662653225943,False,True,-0.504,1.1494,0.306,0.8213,Mini-Grid,0.306,23.359835446677636,591
15314,Faranguédou,Alibori,Kandi,11.180037,2.88379,41,16,3.472,5.816811140371497,111.12727330969861,False,False,-0.178,99.8915,0.3238,0.8213,Mini-Grid,0.3238,9.156294733946908,15634
4699,Location #1779,Zou,Djidja,7.292045,2.040285,675,262,72.145,120.86804139461454,4.1611522023800225,False,False,0.244,0.4617,0.2907,0.8213,Mini-Grid,0.2907,10.61006712449677,11457
16297,Ganoussirou,Alibori,Banikoara,11.433324,2.515173,34,13,2.821,4.726159051551842,137.42794312408745,False,False,-0.157,151.8536,0.3238,0.8213,Mini-Grid,0.3238,9.026454000851702,15817
15114,Location #8979,Alibori,Banikoara,11.145651,2.362317,93,36,7.812,13.087825065835869,109.20796675262831,False,False,-0.38,43.8312,0.3238,0.8213,Mini-Grid,0.3238,10.405010408086024,12868
